"filename", "language", "JSON", "MCMETA", "mcfunction", "comment", "blank", "total"
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\nether\big_heal_pot.mcfunction", "mcfunction", 0, 0, 7, 0, 4, 11
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\nether\hot_lava\main.mcfunction", "mcfunction", 0, 0, 8, 0, 2, 10
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\nether\hot_lava\set_damage.mcfunction", "mcfunction", 0, 0, 1, 0, 0, 1
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\nether\hot_lava\trigger.mcfunction", "mcfunction", 0, 0, 7, 0, 4, 11
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\nether\small_heal_pot.mcfunction", "mcfunction", 0, 0, 7, 0, 3, 10
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\ocean\bossfrucht\main_handling.mcfunction", "mcfunction", 0, 0, 24, 0, 10, 34
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\ocean\bossfrucht\stage_1.mcfunction", "mcfunction", 0, 0, 8, 0, 9, 17
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\ocean\bossfrucht\stage_2.mcfunction", "mcfunction", 0, 0, 8, 0, 9, 17
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\ocean\bossfrucht\stage_3.mcfunction", "mcfunction", 0, 0, 8, 0, 9, 17
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\ocean\bossfrucht\stage_4.mcfunction", "mcfunction", 0, 0, 8, 0, 9, 17
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\ocean\luck-potion\timer.mcfunction", "mcfunction", 0, 0, 16, 0, 15, 31
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\ocean\luck-potion\trigger.mcfunction", "mcfunction", 0, 0, 6, 0, 6, 12
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\ocean\magisches_wasser\place.mcfunction", "mcfunction", 0, 0, 2, 0, 1, 3
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\shop\ocean\magisches_wasser\place_pre.mcfunction", "mcfunction", 0, 0, 7, 0, 3, 10
